# WP-J — the Networking Foundations concept ledger.
#
# ## What this is
#
# The audit source for TEACH-BEFORE-USE. It records, for each concept the course
# teaches, the EARLIEST mission at which that concept may be used, and — where a
# single reliable word exists — the word that marks it.
#
# It is NOT learner-facing curriculum. Nothing renders it and no learner reaches
# it. It exists so that `scripts/verify-wpj.sh` can check authored text against
# an explicit, reviewable ordering instead of a heuristic.
#
# ## Why a ledger and not a language checker
#
# BEGINNER-COMPLETE-1 is a human-authoritative requirement (CURR-009 s14a) and
# cannot be decided by counting words. What CAN be decided mechanically is
# narrow and worth having: whether a term appears in a mission that comes before
# the mission which introduces it. That is an objective question, and this file
# is the only thing that makes it answerable.
#
# The check is deliberately one-directional. A term appearing LATER than its
# ledger mission is fine — that is ordinary reuse. A term appearing EARLIER is a
# forward reference, which is the exact defect BEGINNER-COMPLETE-1 found in
# Router-on-a-Stick Mission 1.
#
# ## What is scanned
#
#   course description       must contain NO ledger term. It is read before any
#   module descriptions      mission, so every term would be a forward reference.
#   mission titles           scanned against the ordering below.
#   mission descriptions
#
# Competency titles and descriptions are NOT scanned. Four of them are reused
# from Router-on-a-Stick byte-for-byte and cannot be reworded here; they are
# metadata describing a capability, not instruction a learner reads in sequence.
#
# Matching is WHOLE-WORD and case-insensitive, so "report" does not match "port"
# and "important" does not match "port". A `-` in the term column means the
# concept has no single word that reliably marks it; it is ordered here for
# review and for the future step-level audit, and is not machine-checked.
#
# ## Its real job is ahead of it
#
# J1 authored no steps, so most terms appear nowhere yet and most rows still
# pass trivially. This ledger is a GUARD placed before the writing starts, so
# that as the remaining missions are authored, a forward reference fails a gate
# instead of reaching a beginner. Module 1 is the first slice it has had real
# work to do on.
#
# ## Why `broadcast` moved from Mission 2 to Mission 4
#
# Module 1 authoring found that what Mission 2 actually teaches is a switch
# sending a copy out of its other ports because it has not yet learned which
# one leads to the destination. That is unknown-destination FLOODING, and it is
# not a broadcast: a broadcast is a frame deliberately addressed to every
# machine at once.
#
# Teaching the first under the second's name would be a false simplification
# the learner would later have to unlearn, so Mission 2 names flooding, which
# is what it demonstrates, and the row here says so.
#
# `broadcast` moves to Mission 4 rather than to an arbitrary later point,
# because Mission 4 is where the course itself makes it teachable. Its authored
# description already promises "the small exchange it performs first to turn an
# assigned address into the factory identity it actually needs" — that exchange
# is ARP, ARP requests are broadcast, and row 17 already places ARP there. So
# Mission 4 is both the first mission where a learner has the addressing
# context for the term to be accurate, and the first mission that needs it.
#
# Mission 4 is NOT authored by that decision. Only the ordering is recorded.
#
# ## Format
#
#   order|missionStableId|concept|term
#
# `order` is the review ordering and must not decrease down the file.

1|nf-m1-what-a-network-is|network purpose|-
2|nf-m1-what-a-network-is|host|host
3|nf-m1-what-a-network-is|switch|switch
4|nf-m1-what-a-network-is|router|router
5|nf-m1-what-a-network-is|interface|interface
6|nf-m1-what-a-network-is|port|port
7|nf-m1-what-a-network-is|topology|topology
8|nf-m2-inside-one-network|local delivery|-
9|nf-m2-inside-one-network|frame|frame
10|nf-m2-inside-one-network|MAC address|MAC
11|nf-m2-inside-one-network|switch learning and forwarding|-
12|nf-m2-inside-one-network|unknown-destination flooding|flooding
13|nf-m2-inside-one-network|MAC address table|-
14|nf-m3-ipv4-the-second-identity|IPv4|IPv4
15|nf-m4-the-prefix-and-the-decision|prefix length|prefix
16|nf-m4-the-prefix-and-the-decision|network portion and host portion|-
17|nf-m4-the-prefix-and-the-decision|same network or remote network|-
18|nf-m4-the-prefix-and-the-decision|ARP|ARP
19|nf-m4-the-prefix-and-the-decision|broadcast|broadcast
20|nf-m5-the-default-gateway|default gateway|gateway
21|nf-m6-routers-and-the-journey|routing|routing
22|nf-m6-routers-and-the-journey|frame versus packet|packet
23|nf-m6-routers-and-the-journey|Layer 2 and Layer 3|-
24|nf-m7-testing-whether-it-works|ICMP and ping|ping
25|nf-m7-testing-whether-it-works|reachability observation|-
26|nf-m8-when-it-does-not-work|simple failure reasoning|-
27|nf-m8-when-it-does-not-work|bounded repair|-
28|nf-m8-when-it-does-not-work|confirmation after repair|-
